Age of Householder,Married-couples familes,,"Male householder, no wife present",,"Female householder, no husband present",,"Male householder, one person present",,"Female householder, one person present",,"Male householder,Other 2-or-more person households",,"Female householder, Other 2-or-more person households",,"Male householder, single householders",,"Female householder, single householders",,
2008,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total.....................","55,637","46,382","5,162","2,971","13,635","6,751","13,685","6,916","17,055","9,990","3,956","1,634","2,541","1,079","22,781","11,514","33,380","17,853",
...Less than 25 years..............................................,"1,164",434,857,357,"1,256",293,812,136,758,85,783,97,655,82,"2,383",574,"2,669",459,
...25 to 29 years........................................................,"3,519","2,064",665,267,"1,449",347,"1,310",393,879,211,829,234,464,131,"2,826",920,"2,863",681,
...30 to 34 years..........................................................,"4,862","3,415",520,233,"1,487",456,"1,112",401,677,230,506,198,201,73,"2,100",810,"2,387",773,
...35 to 39 years........................................................,"6,133","4,823",523,288,"1,619",669,"1,130",499,648,293,360,168,161,85,"1,999",939,"2,422","1,049",
...40 to 44 years......................................................,"6,300","5,273",552,320,"1,691",827,"1,251",587,707,350,323,178,177,95,"2,124","1,061","2,551","1,225",
...45 to 49 years........................................................,"6,686","5,832",607,412,"1,640",960,"1,453",745,"1,098",579,300,181,212,122,"2,357","1,342","2,935","1,626",
...50 to 54 years.......................................................,"6,437","5,743",481,343,"1,230",765,"1,418",802,"1,410",800,277,169,188,122,"2,185","1,319","2,828","1,698",
...55 to 59 years........................................................,"5,776","5,252",308,236,875,577,"1,329",788,"1,603","1,026",186,123,164,124,"1,841","1,162","2,652","1,734",
...60 to 64 years.........................................................,"4,840","4,450",208,156,608,412,"1,058",648,"1,619","1,101",164,114,125,96,"1,446",931,"2,310","1,560",
...65 to 69 years.........................................................,"3,540","3,277",117,87,519,395,785,506,"1,539","1,051",91,65,68,52,"1,005",675,"2,151","1,533",
...70 to 74 years........................................................,"2,520","2,326",90,68,396,306,614,390,"1,398","1,012",62,48,46,35,762,495,"1,872","1,392",
...75 years and over.................................................,"3,860","3,495",234,204,865,743,"1,412","1,022","4,719","3,253",75,58,80,62,"1,754","1,285","5,739","4,122",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"9,545","5,913","2,042",858,"4,192","1,097","3,234",930,"2,314",526,"2,118",529,"1,321",286,"7,309","2,304","7,920","1,913",
É..35 to 44 years.........................................................,"12,433","10,096","1,075",608,"3,310","1,496","2,381","1,086","1,355",643,683,346,338,180,"4,123","2,000","4,972","2,275",
É..45 to 54 years.....................................................,"13,123","11,575","1,088",755,"2,870","1,726","2,871","1,547","2,508","1,379",577,350,400,244,"4,541","2,662","5,763","3,325",
É..55 to 64 years......................................................,"10,616","9,701",516,392,"1,483",989,"2,387","1,436","3,222","2,127",350,237,289,220,"3,287","2,093","4,962","3,294",
É..65 years and over.............................................,"9,920","9,097",441,358,"1,780","1,444","2,811","1,918","7,656","5,315",228,172,193,149,"3,521","2,456","9,762","7,047",
2009,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total.....................","55,720","46,147","5,364","3,053","13,864","6,790","13,709","6,971","16,929","9,918","4,047","1,626","2,661","1,131","23,120","11,649","33,455","17,839",
...Less than 25 years..............................................,"1,123",410,846,368,"1,324",320,760,118,704,74,759,84,641,64,"2,365",569,"2,669",457,
...25 to 29 years........................................................,"3,440","1,896",673,256,"1,488",341,"1,288",362,878,198,884,241,502,154,"2,845",859,"2,868",693,
...30 to 34 years..........................................................,"4,827","3,312",538,239,"1,506",446,"1,105",419,675,243,513,195,249,84,"2,155",852,"2,430",774,
...35 to 39 years........................................................,"5,926","4,612",555,280,"1,621",643,"1,049",466,637,284,340,155,145,74,"1,944",902,"2,403","1,001",
...40 to 44 years......................................................,"6,203","5,177",596,348,"1,626",776,"1,189",552,702,316,325,162,157,88,"2,110","1,062","2,484","1,180",
...45 to 49 years........................................................,"6,630","5,733",618,398,"1,633",929,"1,470",753,"1,076",537,319,174,216,126,"2,407","1,324","2,924","1,591",
...50 to 54 years.......................................................,"6,594","5,851",509,360,"1,234",773,"1,495",850,"1,382",795,278,177,213,140,"2,282","1,387","2,828","1,708",
...55 to 59 years........................................................,"5,785","5,232",371,275,912,588,"1,277",757,"1,546",969,228,151,195,133,"1,876","1,184","2,653","1,690",
...60 to 64 years.........................................................,"5,094","4,651",205,158,624,427,"1,108",678,"1,673","1,117",160,112,132,103,"1,473",948,"2,428","1,647",
...65 to 69 years.........................................................,"3,695","3,416",139,109,501,376,851,553,"1,521","1,058",92,66,81,62,"1,083",728,"2,103","1,496",
...70 to 74 years........................................................,"2,592","2,399",96,75,449,354,626,398,"1,454","1,054",66,50,50,37,788,523,"1,953","1,445",
...75 years and over.................................................,"3,810","3,459",218,188,947,818,"1,493","1,065","4,682","3,272",82,58,81,65,"1,793","1,311","5,711","4,156",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"9,390","5,617","2,057",862,"4,318","1,106","3,153",898,"2,257",516,"2,155",520,"1,392",302,"7,365","2,280","7,967","1,924",
É..35 to 44 years.........................................................,"12,129","9,789","1,152",629,"3,247","1,419","2,237","1,018","1,339",600,665,317,302,162,"4,054","1,964","4,887","2,181",
É..45 to 54 years.....................................................,"13,224","11,584","1,127",757,"2,867","1,702","2,964","1,603","2,457","1,332",597,351,429,266,"4,689","2,712","5,753","3,300",
